src	desc	lat	lon	name	cmt	NULL
1	River Street , Clerkenwell	51.52916347	-0.109970527	TBA1	TBA1	NULL
2	Phillimore Gardens, Kensington	51.49960695	-0.197574246	TBA2	TBA2	NULL
3	Christopher Street, Liverpool Street	51.52128377	-0.084605692	TBA3	TBA3	NULL
4	St. Chad's Street, King's Cross	51.53005939	-0.120973687	TBA4	TBA4	NULL
5	Sedding Street, Sloane Square	51.49313	-0.156876	TBA5	TBA5	NULL
6	Broadcasting House, Marylebone	51.51811784	-0.144228881	TBA6	TBA6	NULL
7	Charlbert Street, St. John's Wood	51.53430039	-0.1680743	TBA7	TBA7	NULL
8	Maida Vale, Maida Vale	51.529857	-0.18348604	TBA8	TBA8	NULL
9	New Globe Walk, Bankside	51.5073853	-0.096440751	TBA9	TBA9	NULL
10	Park Street, Bankside	51.50597426	-0.092754157	TBA10	TBA10	NULL
11	Brunswick Square, Bloomsbury	51.52395143	-0.122502346	TBA11	TBA11	NULL
12	Malet Street, Bloomsbury	51.52168078	-0.130431727	TBA12	TBA12	NULL
13	Scala Street, Fitzrovia	51.51991453	-0.136039674	TBA13	TBA13	NULL
14	Belgrove Street , King's Cross	51.52994371	-0.123616824	TBA14	TBA14	NULL
15	Great Russell Street, Bloomsbury	51.51772703	-0.127854211	TBA15	TBA15	NULL
16	Cartwright Gardens , Bloomsbury	51.52635795	-0.125979294	TBA16	TBA16	NULL
17	Hatton Wall, Holborn	51.5216612	-0.109006325	TBA17	TBA17	NULL
18	Drury Lane, Covent Garden	51.51477076	-0.12221963	TBA18	TBA18	NULL
19	Taviton Street, Bloomsbury	51.52505093	-0.131161087	TBA19	TBA19	NULL
20	Drummond Street , Euston	51.527326	-0.13605286	TBA20	TBA20	NULL
21	Lansdowne Drive, Hackney Central	51.539834	-0.062806212	TBA21	TBA21	NULL
22	Northington Street , Holborn	51.5222641	-0.114079481	TBA22	TBA22	NULL
23	Red Lion Square, Holborn	51.51943538	-0.119123345	TBA23	TBA23	NULL
24	British Museum, Bloomsbury	51.51908011	-0.124678402	TBA24	TBA24	NULL
25	Doric Way , Somers Town	51.5288338	-0.132250369	TBA25	TBA25	NULL
26	Ampton Street , Clerkenwell	51.52728093	-0.11829517	TBA26	TBA26	NULL
27	Bouverie Street, Temple	51.51382102	-0.107927706	TBA27	TBA27	NULL
28	Bolsover Street, Fitzrovia	51.52351808	-0.143613641	TBA28	TBA28	NULL
29	Hereford Road, Bayswater	51.513735	-0.193487	TBA29	TBA29	NULL
30	Windsor Terrace, Hoxton	51.52915444	-0.093421615	TBA30	TBA30	NULL
31	Fanshaw Street, Hoxton	51.52953709	-0.083353323	TBA31	TBA31	NULL
32	Leonard Circus , Shoreditch	51.52469624	-0.084439283	TBA32	TBA32	NULL
33	Central House, Aldgate	51.515231	-0.07015	TBA33	TBA33	NULL
